barcode	ONT_native_barcode	number	batch	n	pathovar	sequenced_filemaker	original_filemaker	input-file	total.reads	total.gigabases	N50.length	mean.length	median.length	max.length	mean.q	median.q
barcode83	NB83	8,8	8	8	Xcr	6829	6688	83.tab	33095	0,7528823	38634	22749,1	17318	145898	11,9	12,3
barcode84	NB84	8,9	8	9	Xcc	6830	6717	84.tab	70926	1,7277466	36641	24359,8	22043	424287	12	12,3
barcode85	NB85	8,1	8	10	Xcc	6831	3867	85.tab	65562	1,5650362	38523	23871,1	19833,5	161850	11,9	12,3
barcode86	NB86	8,11	8	11	Xcc	6832	3869	86.tab	49805	0,9421539	37149	18916,9	11573	144724	12	12,3
barcode87	NB87	8,12	8	12	Xcc	6748	3874	87.tab	103654	2,52333	35904	24343,8	22366	185577	12	12,3
barcode88	NB88	8,13	8	13	Xcc	6777	3873	88.tab	68208	1,4678619	36531	21520,4	15756	260583	12	12,3
barcode89	NB89	8,14	8	14	Xcr	6781	3878	89.tab	37268	1,0245847	42338	27492,3	23675,5	188135	12	12,3
barcode90	NB90	8,16	8	16	Xc	6785	6680	90.tab	41539	1,1499498	42291	27683,6	23932	178266	12	12,3
barcode91	NB91	8,17	8	17	Xcr	6767	6322	91.tab	38987	0,9654847	38740	24764,3	21197	169084	11,9	12,3
barcode92	NB92	8,19	8	19	Xcr	6772	6333	92.tab	28530	0,6417224	36418	22492,9	18154,5	179604	12	12,3
barcode93	NB93	9,1	9	1	Xcr	6770	6734	93.tab	22455	0,4913894	36178	21883,3	16758	160418	12	12,3
barcode94	NB94	9,2	9	2	Xcr	6782	6732	94.tab	51597	1,2728752	38998	24669,6	20854	163291	12	12,3
barcode95	NB95	9,3	9	3	Xcr	6816	6733	95.tab	154424	1,8766641	23636	12152,7	6675	168661	11,9	12,3
barcode96	NB96	9,4	9	4	Xcr	6754	6731	96.tab	249477	2,2898498	17391	9178,6	5017	138837	12	12,3
