barcode,tip_label,pathovvar,strain name,pathovar_strainname,species,species_strain
barcode86,Xcc_barcode86,Xcc,CFBP 1712,Xcc str. CFBP 1712,Xanthomonas campestris pv. campestris,Xanthomonas campestris pv. campestris str. CFBP 1712
barcode87,Xcc_barcode87,Xcc,CFBP 5241,Xcc str. CFBP 5241,Xanthomonas campestris pv. campestris,Xanthomonas campestris pv. campestris str. CFBP 5241
barcode88,Xcc_barcode88,Xcc,CFBP 4954,Xcc str. CFBP 4954,Xanthomonas campestris pv. campestris,Xanthomonas campestris pv. campestris str. CFBP 4954
barcode89,Xcr_barcode89,Xcr,CFBP 5828,Xcr str. CFBP 5828,Xanthomonas campestris pv. raphani,Xanthomonas campestris pv. raphani str. CFBP 5828
barcode90,Not_pathogenic_barcode90,np,CFBP 7700R,np str. CFBP 7700R,Xanthomonas campestris,Xanthomonas campestris str. CFBP 7700R
barcode91,Xcr_barcode91,Xcr,bglFP 6767,Xcr str. bglFP 6767,Xanthomonas campestris pv. raphani,Xanthomonas campestris pv. raphani str. bglFP 6767
barcode92,Xcr_barcode92,Xcr,bglFP 6772,Xcr str. bglFP 6772,Xanthomonas campestris pv. raphani,Xanthomonas campestris pv. raphani str. bglFP 6772
barcode93,Xcr_barcode93,Xcr,#697,Xcr str. #697,Xanthomonas campestris pv. raphani,Xanthomonas campestris pv. raphani str. #697
barcode94,Xcc_barcode94,Xcc,#689,Xcc str. #689,Xanthomonas campestris pv. campestris,Xanthomonas campestris pv. campestris str. #689
barcode95,Xcr_barcode95,Xcr,#695,Xcr str. #695,Xanthomonas campestris pv. raphani,Xanthomonas campestris pv. raphani str. #695
barcode96,Xcr_barcode96,Xcr,#691,Xcr str. #691,Xanthomonas campestris pv. raphani,Xanthomonas campestris pv. raphani str. #691
na,Xfragariae,Xf,PD885,Xf str. PD885,Xanthomonas campestris pv. campestris,Xanthomonas campestris pv. campestris str. PD885
